seller_id,tag,weight,evidence
s01,books,0.8,"reviews mention book shelves; used items incl books"
s01,toys,0.7,"reviews mention complete toys/play sets"
s01,furniture,0.6,"description includes furniture; reviews mention tables/chairs"
s01,housewares,0.7,"reviews mention kitchen items/appliances"
s01,clean_organized,0.9,"many reviews: clean, organized"
s01,community_giving,0.8,"story/mission: nonprofit ministries; proceeds support nonprofits"
s01,unique_finds,0.8,"reviews mention treasures/antiques/cameras"

s02,designer_brands,0.9,"description: designer brands & authentication claims"
s02,streetwear,0.8,"mentions Supreme/BAPE/Off-White etc."
s02,vintage,0.7,"reviews mention vintage gems"
s02,curated_resale,0.9,"well-curated resale store framing"
s02,price_high,0.7,"reviews: expensive; $100 used shirts example"
s02,trend_youth,0.8,"reviews suggest 15–35 clientele"

s03,antiques_collectibles,0.8,"description includes antiques/collectibles"
s03,jewelry,0.6,"description includes jewelry"
s03,books,0.6,"description includes books; reviews mention books"
s03,home_decor,0.6,"description includes home decor/seasonal"
s03,volunteer_run,0.8,"explicitly volunteer-run; proceeds fund programs"
s03,treasure_hunt_turnover,0.7,"reviews: hit-or-miss; frequent visits needed"

s04,high_end_furniture,0.9,"reviews emphasize furniture quality/selection"
s04,designer_apparel,0.7,"reviews mention designer items"
s04,antiques_housewares,0.7,"reviews: antique-shop vibe; housewares"
s04,clean_organized,0.7,"reviews emphasize organized/clean"
s04,limited_hours,0.7,"Mon–Fri 10am–3pm referenced"

s05,budget,0.9,"many reviews emphasize low prices/deals"
s05,clothing,0.8,"lots of clothes"
s05,coupons_discounts,0.8,"color tag discounts; coupons; club"
s05,clean_organized,0.6,"multiple reviews mention neat/clean"
s05,limited_parking,0.8,"parking repeatedly cited as hard"

s06,punk,0.9,"many reviews: punk vibe"
s06,goth,0.8,"many reviews: goth/dark wave"
s06,band_teas,0.8,"reviews mention band tees/rock shirts"
s06,vintage_80s_90s,0.8,"retro/vintage focus"
s06,accessories_jewelry,0.6,"reviews mention jewelry/accessories"
s06,live_music,0.7,"reviews mention bands/live music"
s06,niche_hidden_gem,0.8,"harder to discover + non-mainstream style"

s07,designer_handbags,1.0,"POC: flea vendor sells designer handbags"
s07,budget,0.8,"POC: very cheap prices"
s07,offline_discovery,1.0,"no standalone online footprint; flea market only"

s08,boots,1.0,"POC: flea vendor sells secondhand boots"
s08,budget,0.8,"POC: cheap prices"
s08,offline_discovery,1.0,"no standalone online footprint; flea market only"

s09,instagram_only,1.0,"POC: only Instagram presence"
s09,curated_vintage,0.7,"typical flea IG vendor positioning (curated finds)"
s09,hard_to_search,1.0,"POC: difficult to find via Google"
