edge_id,seller_id_1,seller_id_2,weight,proximity_factor,style_overlap_factor,type_affinity_factor,explanation
ss001,s01,s03,0.72,0.8,0.7,0.7,"Pasadena thrift; overlap in books/housewares + treasure-hunt vibe"
ss002,s01,s05,0.78,0.8,0.8,0.6,"Pasadena thrift; budget + clean/organized overlap"
ss003,s03,s05,0.64,0.7,0.6,0.6,"Thrift + discounts/turnover; different hours/size"
ss004,s04,s03,0.62,0.7,0.6,0.6,"High-quality inventory + antiques/housewares overlap"
ss005,s04,s02,0.58,0.5,0.6,0.7,"Resale/consignment affinity; designer focus overlap"
ss006,s02,s06,0.46,0.6,0.4,0.5,"Youth/trendy shopping adjacency but very different niche styles"
ss007,s06,s03,0.52,0.7,0.5,0.5,"Vintage overlap + curated display; different subcultures"
ss008,s06,s09,0.68,0.4,0.8,0.6,"Alt/vintage curation similarity; both discovered socially/IG"
ss009,s09,s07,0.42,0.3,0.6,0.4,"Both are 'social discovery' sellers; overlapping accessories/vintage vibe"
ss010,s07,s08,0.85,0.9,0.8,0.8,"Same flea market setting; budget rare finds; strong adjacency"
ss011,s01,s06,0.48,0.8,0.4,0.4,"Same corridor (E Colorado); some overlap in unique finds"
ss012,s02,s03,0.44,0.7,0.4,0.4,"Both carry vintage; different pricing/curation styles"
ss013,s04,s01,0.50,0.7,0.4,0.5,"Both clean/organized; some home goods/furniture overlap"
ss014,s05,s06,0.35,0.6,0.3,0.3,"Weak similarity: budget thrift vs niche vintage"
ss015,s03,s07,0.30,0.6,0.2,0.2,"Bridge: 'treasure hunt' shopping behavior connects to flea"
ss016,s06,s08,0.40,0.5,0.5,0.3,"Boots can align with punk/alt fits; bridge for discovery"
ss017,s02,s07,0.28,0.4,0.3,0.4,"Designer goods connection (bags) but different channel"
